Store,Dept,Date,Weekly_Sales,IsHoliday,Type,Size,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment
1,1,2010-02-12,46039.49,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,2,2010-02-12,44682.74,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,3,2010-02-12,10887.84,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,4,2010-02-12,35351.21,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,5,2010-02-12,29620.81,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,6,2010-02-12,9135.0,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,7,2010-02-12,18310.31,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,8,2010-02-12,37334.83,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,9,2010-02-12,16562.49,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,10,2010-02-12,31494.77,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,11,2010-02-12,21760.75,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,12,2010-02-12,8654.07,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,13,2010-02-12,36476.4,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,14,2010-02-12,18129.02,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,16,2010-02-12,11873.89,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,17,2010-02-12,13403.66,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,18,2010-02-12,19006.5,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,19,2010-02-12,1490.79,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,20,2010-02-12,3697.7,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,21,2010-02-12,8735.83,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,22,2010-02-12,14807.95,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,23,2010-02-12,22812.41,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,24,2010-02-12,8050.24,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,25,2010-02-12,13268.75,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,26,2010-02-12,10050.92,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,27,2010-02-12,2339.5,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,28,2010-02-12,1008.36,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,29,2010-02-12,7696.61,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,30,2010-02-12,5328.5,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,31,2010-02-12,3228.96,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,32,2010-02-12,14700.59,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,33,2010-02-12,8483.54,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,34,2010-02-12,12852.83,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,35,2010-02-12,2420.0,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,36,2010-02-12,432.0,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,37,2010-02-12,3450.68,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,38,2010-02-12,94136.35,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,40,2010-02-12,60828.25,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,41,2010-02-12,924.53,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,42,2010-02-12,7284.34,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,44,2010-02-12,4463.33,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,45,2010-02-12,34.47,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,46,2010-02-12,18826.47,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,48,2010-02-12,247.0,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
1,49,2010-02-12,16139.05,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106
